adid,n_interests,custom
23848169686440483,0,1
6274947067601,7,0
23848643889340454,1,0
23848309627880584,1,0
6265245537037,0,0
6260574799369,0,0
23848775158690013,0,0
23849094580010548,6,0
23849702778780075,2,0
23847613143580213,3,0
6254110323265,3,0
23849306206320627,2,0
6262226433663,0,1
23849786630390543,0,1
23848587953050071,2,0
23848408353630745,0,0
23848453868050110,3,0
23848787902350502,1,0
23846497113250744,1,0
23848777875170567,0,0
23848809753650290,0,0
23848818769710232,0,1
23848517973440409,1,0
23849759374630337,0,1
23848780023210366,0,0
23847527763390449,2,0
6265296994364,0,1
23849293323750403,0,0
23848493878510352,0,1
23848690345990765,2,0
6255896924052,0,1
6260579053569,1,0
23848280739350328,0,0
6255630206333,0,1
23849034715130576,1,0
6266531311661,0,0
6283335190245,1,0
23848891634140388,0,0
23848492860290531,0,0
6224783591279,0,0
23848902603950368,0,0
6255279435872,1,0
6275147652001,2,0
23848474003880191,2,1
23848747987120569,0,1
23848504893360121,0,1
6252168120222,0,0
23848937111590379,1,0
23848562031240598,0,0
6260584861569,0,0
23849537096750453,0,0
6269153706788,0,1
23849157985940311,0,1
23848874317890027,0,0
23849482378830070,0,0
23848861219640340,0,1
6256814441185,0,1
23849528743240190,0,1
23849342920860340,0,0
23849099085220452,0,0
6274667668650,3,0
23849021572660521,0,0
23848742370620142,0,1
6275202795253,0,1
23848834789490110,0,1
23849349803280482,0,1
23848816756510223,4,0
6294008391723,0,1
23848454221960350,2,0
23849390463800321,0,1
23849575752850241,0,1
6286075368780,0,0
23848959060010590,0,1
23849244530580540,0,1
6251725947358,0,1
23848816754790223,0,0
23848770657510254,2,0
6259093895157,0,1
6275111586596,0,1
23848746133060429,12,0
6274667587650,3,0
6244983142537,0,0
23848896048750637,0,1
6262378085012,4,0
23848448807700668,1,0
6285723383974,0,0
23848764103570290,0,1
23849254221400663,0,0
23848588994340022,0,0
23849090257820603,1,0
23848914273610194,0,0
23849804601090543,0,0
6255419954187,0,0
23849137141560063,0,0
6273901630801,0,0
23848196337110321,1,0
23848279207420407,0,0
23848818558520502,0,0
23848376499210274,0,1
6243044280703,0,1
23847770043530073,2,0
23848155319320561,0,0
23848922282360167,0,1
23848747987090569,0,1
23848249628330570,0,0
6257530281787,1,0
6261206651369,0,0
23848663790970007,0,0
23849071908470079,3,1
23848846354070130,0,1
6253724132335,0,1
23849172603580713,0,0
6255976119208,0,0
23849836334140746,0,0
