relevance,scam_dislike,other_dislike,general_like,general_dislike,sensitive,prohibited,harmful,clickbait,benign,code_other,pid
4,0,0,1,0,0,0,0,0,1,0,61648bb6ad1eceeee2c056ee
2,0,1,0,0,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
4,0,0,1,0,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
1,0,1,0,0,0,0,0,0,1,0,61648bb6ad1eceeee2c056ee
2,0,1,0,0,0,0,0,0,1,0,61648bb6ad1eceeee2c056ee
3,1,0,0,0,1,0,0,0,0,0,61648bb6ad1eceeee2c056ee
1,1,1,0,1,0,1,0,0,0,0,61648bb6ad1eceeee2c056ee
1,1,1,0,1,0,1,0,0,0,0,61648bb6ad1eceeee2c056ee
2,1,0,0,0,0,1,0,0,0,0,5f786ddd6f28d63e71e631b6
2,1,1,0,1,0,0,0,0,1,0,61648bb6ad1eceeee2c056ee
4,0,0,1,0,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
2,1,1,0,0,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
1,0,1,0,0,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
4,0,0,1,0,1,0,0,0,0,0,61648bb6ad1eceeee2c056ee
4,0,0,1,0,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
4,0,1,0,0,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
1,0,1,0,1,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
1,0,1,0,1,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
4,0,0,1,0,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
3,1,0,0,0,0,0,0,0,1,0,61648bb6ad1eceeee2c056ee
2,0,1,0,0,0,1,0,1,0,0,61648bb6ad1eceeee2c056ee
1,1,1,0,0,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
2,1,1,0,1,0,0,0,0,1,0,61648bb6ad1eceeee2c056ee
1,1,1,0,1,1,0,0,0,0,0,61648bb6ad1eceeee2c056ee
2,0,1,0,0,0,0,0,0,1,0,61648bb6ad1eceeee2c056ee
1,0,1,0,0,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
1,0,1,0,0,0,0,0,0,1,0,61648bb6ad1eceeee2c056ee
1,0,1,0,1,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
4,0,0,1,0,0,0,0,0,1,0,61648bb6ad1eceeee2c056ee
1,0,1,0,0,0,0,0,0,0,1,61648bb6ad1eceeee2c056ee
1,1,1,0,1,0,1,0,0,0,0,61648bb6ad1eceeee2c056ee
1,0,1,0,1,0,1,0,0,0,0,5dee72917309b950e5262f3a
1,0,0,1,0,0,1,0,0,0,0,5dee72917309b950e5262f3a
1,1,1,0,1,0,1,0,0,0,0,61648bb6ad1eceeee2c056ee
3,0,0,1,0,0,0,0,0,0,1,5db1142453bf830017fc744c
1,1,1,0,1,0,0,0,0,1,0,5db1142453bf830017fc744c
2,1,1,0,1,0,0,0,0,1,0,5db1142453bf830017fc744c
5,1,0,0,0,0,0,0,0,1,0,5db1142453bf830017fc744c
4,1,0,0,0,0,0,0,0,0,1,5db1142453bf830017fc744c
1,1,1,0,1,0,0,0,0,1,0,5db1142453bf830017fc744c
1,0,1,0,0,0,0,0,0,0,1,5db1142453bf830017fc744c
3,0,0,1,0,0,0,0,0,1,0,5db1142453bf830017fc744c
5,0,0,1,0,0,0,0,0,1,0,5db1142453bf830017fc744c
5,0,0,1,0,0,0,0,0,1,0,60bd88b8fc436774352f53b9
5,0,0,1,0,0,0,0,0,1,0,5db1142453bf830017fc744c
3,1,0,0,0,0,0,0,0,1,0,5db1142453bf830017fc744c
4,0,0,1,0,0,0,0,0,1,0,614a74f72a6ff823cff820c2
2,0,1,0,0,0,0,0,0,0,1,5db1142453bf830017fc744c
2,1,1,0,1,0,0,0,0,1,0,5db1142453bf830017fc744c
4,1,0,0,0,0,0,0,0,1,0,5db1142453bf830017fc744c
2,1,1,0,0,0,0,0,0,1,0,5db1142453bf830017fc744c
1,1,0,0,1,0,0,0,0,1,0,5db1142453bf830017fc744c
3,1,0,0,0,0,0,0,0,1,0,5db1142453bf830017fc744c
4,0,0,1,0,0,0,0,0,1,0,5db1142453bf830017fc744c
5,0,0,1,0,0,0,0,0,1,0,5db1142453bf830017fc744c
1,1,1,0,1,0,0,0,0,1,0,5db1142453bf830017fc744c
2,1,0,0,1,0,0,0,0,1,0,5db1142453bf830017fc744c
2,0,1,0,0,0,0,0,0,1,0,470998
4,1,0,0,0,0,0,0,0,1,0,5db1142453bf830017fc744c
1,0,1,0,1,0,0,0,0,1,0,5db1142453bf830017fc744c
3,0,0,1,0,0,0,0,0,1,0,5db1142453bf830017fc744c
4,0,0,1,0,0,0,0,0,1,0,5db1142453bf830017fc744c
5,0,0,1,0,0,0,0,0,1,0,5db1142453bf830017fc744c
5,1,0,0,0,0,0,0,0,1,0,5db1142453bf830017fc744c
3,1,0,0,0,0,0,0,0,1,0,5db1142453bf830017fc744c
5,0,0,1,0,0,0,0,0,1,0,5db1142453bf830017fc744c
5,0,0,1,0,0,0,0,0,1,0,5db1142453bf830017fc744c
1,0,1,0,1,0,0,0,0,1,0,5db1142453bf830017fc744c
4,0,0,1,0,0,0,0,0,1,0,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
4,1,1,0,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
4,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
4,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
3,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,1,0,5c4af67cdccaa800016b3192
4,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,1,0,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
