pid,total_ads,global_harm_counts,cont_harms_counts,healthcare_harm_counts,global_harm_prop,cont_harm_prop,healthcare_harm_prop
948872,11,0,0,0,0.0,0.0,0.0
704314,8,1,0,0,0.125,0.0,0.0
6108767c9bec77d0e42e3c44,8,0,0,0,0.0,0.0,0.0
60e3dea3ffbd0e2a90942794,479,8,8,6,0.016701461377870562,0.016701461377870562,0.012526096033402923
887037,12,0,1,0,0.0,0.08333333333333333,0.0
5fd63cb585f88c4eb1933661,29,0,0,0,0.0,0.0,0.0
5f565c9592080106c6b4d467,222,5,3,0,0.02252252252252252,0.013513513513513514,0.0
139835,14,0,0,0,0.0,0.0,0.0
5a8cb6aaaa46dd00016be788,8,1,0,0,0.125,0.0,0.0
610c42860e3a1a52be2b77da,51,1,0,0,0.0196078431372549,0.0,0.0
611d8aa6ab57a5ddf8025b8e,35,1,0,0,0.02857142857142857,0.0,0.0
5dd40277e08a363e4e006384,148,0,3,1,0.0,0.02027027027027027,0.006756756756756757
606e4eb2a56685e5593304cd,37,0,3,1,0.0,0.08108108108108109,0.02702702702702703
5f50732850c7c600098593df,55,0,0,0,0.0,0.0,0.0
516706,200,6,1,0,0.03,0.005,0.0
480847,71,4,0,0,0.056338028169014086,0.0,0.0
298154,200,10,3,1,0.05,0.015,0.005
5ea3310bf9c4f828f0c909c5,164,4,1,1,0.024390243902439025,0.006097560975609756,0.006097560975609756
5e26b6765952178df2048d52,3,0,0,0,0.0,0.0,0.0
231713,18,0,1,0,0.0,0.05555555555555555,0.0
959537,400,10,2,1,0.025,0.005,0.0025
5bc5356e65cfb8000154bd82,36,0,1,0,0.0,0.027777777777777776,0.0
111226,145,4,3,1,0.027586206896551724,0.020689655172413793,0.006896551724137931
5f3e5e066dfaa70464615447,163,0,0,0,0.0,0.0,0.0
147763,200,4,4,4,0.02,0.02,0.02
5dee72917309b950e5262f3a,222,8,5,1,0.036036036036036036,0.02252252252252252,0.0045045045045045045
525028,347,7,15,10,0.020172910662824207,0.043227665706051875,0.02881844380403458
6102c2bafd71006cf4fcbd67,121,1,0,0,0.008264462809917356,0.0,0.0
899499,45,1,1,1,0.022222222222222223,0.022222222222222223,0.022222222222222223
638390,47,0,2,2,0.0,0.0425531914893617,0.0425531914893617
