adid	codes
6282039390073	Financial
6296012981280	Benign
23848720522000054	Benign
6245800877698	Benign
23849189135900061	Sensitive
23846537571260154	Benign
6242520792763	Benign
23849375344640022	Financial
23849638938470263	Benign
23849825485960456	Benign
23848403490810425	Benign
23849198552870104	Healthcare
23848833497200779	Benign
6248283812730	Benign
23849015959750723	Benign
6271169248588	Benign
6226186149900	Benign
23848832547360251	Benign
23849162047960597	Benign
6250731274803	Benign
23848888401520444	Benign
23848402699880425	Benign
6285881449420	Benign
6259913803483	Benign
23848682681720581	Opportunity
23849759374630337	Opportunity
23849804602900543	Benign
6233269112263	Benign
23849123545440100	Benign
6272261657835	Benign
23849225895090616	Benign
23848922506790720	Healthcare
6250898221701	Benign
6280604862450	Opportunity
6261470195901	Benign
23849491096350070	Benign
23848602932500306	Benign
6243401530048	Benign
6244954540249	Benign
6267276522801	Benign
23849190383810001	Healthcare
6277547014682	Benign
23848184380600407	Benign
23848846808990777	Benign
23848284240030598	Benign
23848971975700455	Clickbait
6270453431659	Benign
23848140169320136	Benign
23848837568030094	Opportunity
23847760121000120	Benign
6250609053154	Benign
6287387963780	Benign
23848872686900443	Benign
23848703941700239	Benign
6258183741787	Benign
6287022125620	Benign
23848706118400607	Benign
23848933260470583	Benign
6300933851013	Benign
6263985622184	Benign
23848977465540293	Benign
23847960708730709	Benign
23849091168600709	Healthcare
23848252227220105	Benign
23849001104880092	Benign
6259113894970	Benign
23849411986860160	Benign
6253161144358	Benign
23849040330020161	Benign
23848560646160076	Benign
23848375527370704	Benign
23848841216200319	Benign
23849602397550259	Benign
23848516009120089	Opportunity
6262711954979	Benign
23849461561450587	Benign
23848903114260235	Sensitive
23849077211100693	Benign
6229329864758	Benign
23848613600350191	Benign
23849102682060611	Benign
6269361373883	Benign
6239407796977	Benign
23848720313480170	Benign
23847490799580691	Benign
23849898680710202	Benign
23849139499790738	Benign
23848872807340711	Benign
23847900196500112	Benign
23848849801930226	Benign
23844589393190617	Benign
23848795213260334	Benign
23848735551200788	Benign
23849279114140272	Benign
23849619141470333	Benign
23850022123580035	Benign
23849162649880607	Benign
23850111923920426	Benign
6256683389133	Benign
23849077467540480	Benign
6265196326964	Benign
23849867446790337	Healthcare
23848669876590784	Benign
23849343079390431	Benign
23849015533990711	Benign
6257284664036	Benign
23848738415700363	Healthcare
23848792725720711	Benign
6257814482036	Benign
23848393782830425	Benign
6281248896419	Benign
23848717512870639	Benign
23849582804290333	Benign
23848538729730531	Benign
23848914831050354	Benign
23849158787680739	Benign
23849468375480708	Benign
6243420478429	Benign
6244479096421	Benign
23849507121740129	Benign
6246676724554	Benign
23849284582040183	Benign
23846495435700274	Benign
23847311981190713	Benign
23848208146380620	Benign
23849651716950540	Benign
23849175216690714	Benign
23849502733150227	Benign
23849053205790714	Benign
23848821119930072	Benign
6268716299188	Benign
23849605065410227	Benign
23848788356730002	Benign
6221372463256	Opportunity
23848700146200007	Benign
23849216684620714	Benign
6249932708599	Benign
23849396059250579	Benign
6249242231226	Opportunity
23848935326250355	Benign
23848712068760123	Benign
6253670374713	Benign
23848950090870590	Benign
23848873531490112	Sensitive
23848728465490204	Benign
6275020096886	Benign
6250870957529	Benign
23848349891150627	Benign
6251382937329	Opportunity
23848794689470341	Benign
23848836265810000	Healthcare
23848403470030425	Benign
23848666043330170	Benign
23848562594350481	Benign
6265404454510	Opportunity
23849106864420412	Healthcare
23848873735140715	Benign
23849127015750607	Benign
23848960472810390	Benign
6264007531851	Benign
23849117407570198	Benign
23848874618760335	Benign
6264963564815	Benign
23848697419260466	Healthcare
6282220153751	Healthcare
6264878926538	Benign
23849406004640246	Benign
6255978350701	Benign
23848944624510516	Benign
23848671025250271	Benign
23848322472540604	Financial
6294469004309	Opportunity
6282261930650	Benign
23849368294190084	Opportunity
6250773532999	Benign
23849920391000342	Benign
23848245236940713	Benign
6249098403259	Benign
23848817912880466	Benign
23849050203270687	Benign
23848559702700352	Benign
6273901630801	Benign
23849169609450560	Healthcare
23849162418540309	Benign
23849589716880065	Benign
23849548443710716	Benign
23848592902150464	Opportunity
23849069574450736	Benign
23847700963330467	Benign
23849137096230252	Benign
23848716962650569	Benign
23848672100240026	Benign
23848744133700231	Opportunity
23848804234960123	Benign
23848904481150097	Benign
6283475140041	Benign
23848853175340414	Benign
23848969792590335	Benign
6259122594570	Benign
23849265954020412	Benign
23849622492630259	Benign
23847613143540213	Benign
23848657001570652	Benign
6214713269959	Healthcare
23849009009580624	Benign
23849101986740641	Benign
23849252451220661	Benign
23848910252150682	Benign
23849138722760720	Healthcare
6286227720424	Benign
6268714766572	Sensitive
23848967701270406	Opportunity
6248956787988	Benign
6261910913381	Benign
6253894072811	Benign
6281511453951	Benign
23847901561410382	Benign
23848545904980179	Benign
6263674623779	Benign
23849249428200545	Financial
23848648892990787	Benign
23848656573200745	Benign
23848797351340787	Benign
6279492132050	Benign
23848786237150735	Benign
23848702003000059	Benign
23849403241460456	Benign
6257555455136	Benign
23849238287650714	Benign
23849856427990536	Benign
23849027883520654	Benign
23848940797950218	Benign
6256640397387	Benign
23849392611520459	Benign
23848821527050720	Healthcare
6242651178446	Benign
23848403505870425	Benign
23849468362340708	Benign
23849523857780070	Benign
23848362406500011	Benign
23849114181990714	Benign
23848914675190732	Benign
23849167547620714	Benign
23849241485260680	Benign
6265218550206	Benign
6273901850601	Financial
6274727516765	Benign
23849594567690331	Benign
6266761235786	Benign
23848679458950451	Benign
6300097039213	Benign
23848752685460784	Benign
6269075266372	Benign
23848748637780414	Benign
23849011656840625	Benign
6248946446330	Benign
23849859998080337	Benign
6261470189101	Benign
23849158197150524	Benign
23849097624840174	Benign
6270010461384	Benign
23849898680520202	Benign
23848302353700737	Benign
23848365883570392	Benign
23848804422690155	Benign
23848685482360524	Financial
23849303003280744	Clickbait
23850112472810426	Benign
23849295214230585	Benign
6258048300469	Benign
23848752386990285	Benign
6251569672826	Benign
23848760382730457	Benign
23848752451550283	Healthcare
23849037379950720	Healthcare
23849121554470198	Healthcare
23848355086780232	Sensitive
23848887903290605	Benign
23848870206710619	Benign
23849207845860486	Healthcare
23848934207970443	Benign
23849047686130412	Healthcare
23849132273660565	Benign
23848747711370639	Benign
23848857667430599	Benign
23845166153780617	Benign
23849217821640714	Benign
6266852571564	Benign
23849859998130337	Healthcare
23848654761280619	Benign
23848897356410198	Healthcare
23849173339670563	Benign
23849263133300214	Benign
6252296442026	Benign
6260180760781	Benign
6267706207547	Benign
6246856262800	Benign
23849629387620227	Benign
6256700155810	Benign
23848897507560696	Healthcare
23848611334870179	Benign
6249750651599	Benign
23849425265370080	Benign
23849152813010713	Benign
23849272961430149	Benign
23849954586090628	Benign
23848752743290463	Benign
23848877262920161	Benign
23849238905100185	Benign
23849278974740468	Benign
6276086268686	Benign
6264721232750	Benign
23848785375690161	Benign
23848469773280660	Financial
6258183764787	Benign
6266093278564	Benign
23848682665790581	Opportunity
23848427086410136	Benign
23849429156910078	Benign
23849117684360578	Opportunity
23848847843900204	Benign
6257672303187	Benign
6258183712587	Benign
23849068575650716	Opportunity
23848842883570179	Financial
23849553858200333	Benign
23849436731320595	Benign
23849059551900354	Benign
23848973879400700	Benign
6229993434698	Benign
23849063306940349	Benign
6269573149532	Benign
23849787748240259	Benign
6272423740623	Benign
6258438983069	Benign
23848376502150274	Benign
23849298806670739	Benign
6263862992375	Opportunity
6255976057608	Benign
6283515307688	Benign
23849226769490364	Benign
6252223078357	Benign
23849160742310005	Healthcare
23848942532190708	Healthcare
23848754125280419	Benign
23849140105110268	Benign
23848716969950569	Benign
6271954726259	Benign
23848889194270209	Healthcare
23848703218410473	Benign
23849497488000558	Benign
23848730204480676	Benign
6248376158730	Benign
23849444844490065	Benign
23849174899700343	Financial
23848719960730057	Benign
6268737859588	Opportunity
23849553858540333	Benign
23849110913960713	Benign
23848465014590317	Benign
23849311054270611	Benign
23848875053080132	Benign
23849188557470747	Benign
23848565683150456	Benign
23849660334830455	Benign
23848342973940265	Benign
6261429304632	Benign
23849899858860482	Opportunity
6245252976062	Benign
23848519265060454	Benign
23849286852480383	Benign
23849139521550738	Benign
23848682564320724	Benign
23849178479800331	Benign
23849245853440041	Financial
23849501164190089	Benign
23849133270880471	Benign
23848954434590305	Benign
23849825485610456	Benign
6259139366170	Benign
6242255996105	Benign
6258183711787	Benign
6246456317722	Benign
6260702106581	Benign
23848173983350043	Benign
23849040323890161	Benign
23849170509140713	Benign
23849899876630482	Opportunity
23849021568740521	Benign
6285690203820	Benign
6267139644947	Benign
6247736414649	Benign
6295676510323	Sensitive
6267139148756	Benign
23848843852610392	Benign
23849193027260282	Benign
23849019378220282	Benign
6246790615963	Benign
23849196484840149	Benign
23849238407670710	Benign
23848905148480711	Benign
23848878768010228	Benign
6262975429927	Benign
23848551740720344	Benign
23849812758320337	Clickbait
23849112615770200	Benign
6264898994742	Benign
23848476028600673	Healthcare
23848796580350516	Opportunity
6255564051247	Benign
6238197168699	Benign
6296456389123	Sensitive
6274741434978	Benign
23849216671870714	Benign
23849162681100759	Benign
23849493073450090	Benign
23848856077040007	Benign
23849070800750736	Benign
6259036292255	Benign
6305068031726	Benign
6256130036810	Benign
23848539086670639	Benign
23848729277230420	Benign
23848402699950425	Benign
23849488485340408	Benign
6257129046525	Benign
23848988990180711	Benign
23848868757980465	Benign
23849187703810714	Benign
23846667931210468	Benign
23850593089700491	Benign
6241763012881	Benign
